xml_id,div_type,chapter,text_preview,text_full,category_primary,category_secondary,cultural_markers,notes
p00016,front,,"Each states the law and fact and face o’ the thing Just as he’d have them, finds what he thinks fit, Is blind to what missuits him, just records What makes his case out, quite ignores the rest.","Each states the law and fact and face o’ the thing Just as he’d have them, finds what he thinks fit, Is blind to what missuits him, just records What makes his case out, quite ignores the rest.",,,,
p00017,front,,"It’s a History of the World, the Lizard Age, The Early Indians, the Old Country War, Jerome Napoleon, whatsoever you please.","It’s a History of the World, the Lizard Age, The Early Indians, the Old Country War, Jerome Napoleon, whatsoever you please.",,,,
p00018,front,,All as the author wants it.,All as the author wants it.,,,,
p00019,front,,Such a scribe,Such a scribe,,,,
p00020,front,,"You pay and praise for putting life in stones, Fire into fog, making the past your world.","You pay and praise for putting life in stones, Fire into fog, making the past your world.",,,,
p00021,front,,There’s plenty of ‘How did you contrive to grasp The thread which led you through this labyrinth?,There’s plenty of ‘How did you contrive to grasp The thread which led you through this labyrinth?,,,,
p00022,front,,How build such solid fabric out of air?,How build such solid fabric out of air?,,,,
p00023,front,,"How on so slight foundation found this tale, Biography, narrative?’ or, in other words, ‘How many lies did it require to make The portly truth you here present us with?’ -Robert Browning from “Mr Sludge, ‘the Medium’ “","How on so slight foundation found this tale, Biography, narrative?’ or, in other words, ‘How many lies did it require to make The portly truth you here present us with?’ -Robert Browning from “Mr Sludge, ‘the Medium’ “",,,,
p00024,chapter,1,These things are there.,These things are there.,,,,
p00025,chapter,1,"The garden and the tree The serpent at its root, the fruit of gold The woman in the shadow of the boughs The running water and the grassy space.","The garden and the tree The serpent at its root, the fruit of gold The woman in the shadow of the boughs The running water and the grassy space.",,,,
p00026,chapter,1,They are and were there.,They are and were there.,,,,
p00027,chapter,1,"At the old world’s rim, In the Hesperidean grove, the fruit Glowed golden on eternal boughs, and there The dragon Ladon crisped his jewelled crest Scraped a gold claw and sharped a silver tooth And dozed and waited through eternity Until the tricksy hero Herakles Came to his dispossession and the theft.","At the old world’s rim, In the Hesperidean grove, the fruit Glowed golden on eternal boughs, and there The dragon Ladon crisped his jewelled crest Scraped a gold claw and sharped a silver tooth And dozed and waited through eternity Until the tricksy hero Herakles Came to his dispossession and the theft.",,,,
p00028,chapter,1,"- RANDOLPH HENRY ASH from The Garden of Proserpina, 1861","- RANDOLPH HENRY ASH from The Garden of Proserpina, 1861",,,,
p00029,chapter,1,The book was thick and black and covered with dust.,The book was thick and black and covered with dust.,,,,
p00030,chapter,1,Its boards were bowed and creaking; it had been maltreated in its own time.,Its boards were bowed and creaking; it had been maltreated in its own time.,,,,
p00031,chapter,1,"Its spine was missing, or, rather, protruded from amongst the leaves like a bulky marker.","Its spine was missing, or, rather, protruded from amongst the leaves like a bulky marker.",,,,
p00032,chapter,1,"It was bandaged about and about with dirty white tape, tied in a neat bow.","It was bandaged about and about with dirty white tape, tied in a neat bow.",,,,
p00033,chapter,1,"The librarian handed it to Roland Mitchell, who was sitting waiting for it in the Reading Room of the London Library.","The librarian handed it to Roland Mitchell, who was sitting waiting for it in the Reading Room of the London Library.",,,,
p00034,chapter,1,"It had been exhumed from Locked Safe no. 5, where it usually stood between Pranks of Priapus and The Grecian Way of Love.","It had been exhumed from Locked Safe no. 5, where it usually stood between Pranks of Priapus and The Grecian Way of Love.",,,,
p00035,chapter,1,"It was ten in the morning, one day in September 1986.","It was ten in the morning, one day in September 1986.",,,,
p00036,chapter,1,"Roland had the small single table he liked best, behind a square pillar, with the clock over the fireplace nevertheless in full view.","Roland had the small single table he liked best, behind a square pillar, with the clock over the fireplace nevertheless in full view.",,,,
p00037,chapter,1,"To his right was a high sunny window, through which you could see the high green leaves of St James’s Square.","To his right was a high sunny window, through which you could see the high green leaves of St James’s Square.",,,,
p00038,chapter,1,The London Library was Roland’s favourite place.,The London Library was Roland’s favourite place.,,,,
p00039,chapter,1,"It was shabby but civilised, alive with history but inhabited also by living poets and thinkers who could be found squatting on the slotted metal floors of the stacks, or arguing pleasantly at the turning of the stair.","It was shabby but civilised, alive with history but inhabited also by living poets and thinkers who could be found squatting on the slotted metal floors of the stacks, or arguing pleasantly at the turning of the stair.",,,,
p00040,chapter,1,"Here Carlyle had come, here George Eliot had progressed through the bookshelves.","Here Carlyle had come, here George Eliot had progressed through the bookshelves.",,,,
p00041,chapter,1,"Roland saw her black silk skirts, her velvet trains, sweeping compressed between the Fathers of the Church, and heard her firm foot ring on metal among the German poets.","Roland saw her black silk skirts, her velvet trains, sweeping compressed between the Fathers of the Church, and heard her firm foot ring on metal among the German poets.",,,,
p00042,chapter,1,"Here Randolph Henry Ash had come, cramming his elastic mind and memory with unconsidered trifles from History and Topography, from the felicitous alphabetical conjunctions of Science and Miscellaneous- Dancing, Deaf and Dumb, Death, Dentistry, Devil and Demonology, Distribution, Dogs, Domestic Servants, Dreams.","Here Randolph Henry Ash had come, cramming his elastic mind and memory with unconsidered trifles from History and Topography, from the felicitous alphabetical conjunctions of Science and Miscellaneous- Dancing, Deaf and Dumb, Death, Dentistry, Devil and Demonology, Distribution, Dogs, Domestic Servants, Dreams.",,,,
p00043,chapter,1,"In his day, works on Evolution had been catalogued under Pre-Adamite Man.","In his day, works on Evolution had been catalogued under Pre-Adamite Man.",,,,
p00044,chapter,1,Roland had only recently discovered that the London Library possessed Ash’s own copy of Vico’s Principi di una Scienza Nuova.,Roland had only recently discovered that the London Library possessed Ash’s own copy of Vico’s Principi di una Scienza Nuova.,,,,
p00045,chapter,1,Ash’s books were most regrettably scattered across Europe and America.,Ash’s books were most regrettably scattered across Europe and America.,,,,
p00046,chapter,1,"By far the largest single gathering was of course in the Stant Collection at Robert Dale Owen University in New Mexico, where Mortimer Cropper worked on his monumental edition of the Complete Correspondence of Randolph Henry Ash.","By far the largest single gathering was of course in the Stant Collection at Robert Dale Owen University in New Mexico, where Mortimer Cropper worked on his monumental edition of the Complete Correspondence of Randolph Henry Ash.",,,,
p00047,chapter,1,"That was no problem nowadays, books travelled the aether like light and sound.","That was no problem nowadays, books travelled the aether like light and sound.",,,,
p00048,chapter,1,But it was just possible that Ash’s own Vico had marginalia missed even by the indefatigable Cropper.,But it was just possible that Ash’s own Vico had marginalia missed even by the indefatigable Cropper.,,,,
p00049,chapter,1,And Roland was looking for sources for Ash’s Garden of Proserpina.,And Roland was looking for sources for Ash’s Garden of Proserpina.,,,,
p00050,chapter,1,"And there was a pleasure to be had from reading the sentences Ash had read, touched with his fingers, scanned with his eyes.","And there was a pleasure to be had from reading the sentences Ash had read, touched with his fingers, scanned with his eyes.",,,,
p00051,chapter,1,"It was immediately clear that the book had been undisturbed for a very long time, perhaps even since it had been laid to rest.","It was immediately clear that the book had been undisturbed for a very long time, perhaps even since it had been laid to rest.",,,,
p00052,chapter,1,"The librarian fetched a checked duster, and wiped away the dust, a black, thick, tenacious Victorian dust, a dust composed of smoke and fog particles accumulated before the Clean Air acts.","The librarian fetched a checked duster, and wiped away the dust, a black, thick, tenacious Victorian dust, a dust composed of smoke and fog particles accumulated before the Clean Air acts.",,,,
p00053,chapter,1,Roland undid the bindings.,Roland undid the bindings.,,,,
p00054,chapter,1,"The book sprang apart, like a box, disgorging leaf after leaf of faded paper, blue, cream, grey, covered with rusty writing, the brown scratches of a steel nib.","The book sprang apart, like a box, disgorging leaf after leaf of faded paper, blue, cream, grey, covered with rusty writing, the brown scratches of a steel nib.",,,,
p00055,chapter,1,Roland recognised the handwriting with a shock of excitement.,Roland recognised the handwriting with a shock of excitement.,,,,
p00056,chapter,1,"They appeared to be notes on Vico, written on the backs of book-bills and letters.","They appeared to be notes on Vico, written on the backs of book-bills and letters.",,,,
p00057,chapter,1,The librarian observed that it didn’t look as though they had been touched before.,The librarian observed that it didn’t look as though they had been touched before.,,,,
p00058,chapter,1,"Their edges, beyond the pages, were dyed soot-black, giving the impression of the borders of mourning cards.","Their edges, beyond the pages, were dyed soot-black, giving the impression of the borders of mourning cards.",,,,
p00059,chapter,1,"They coincided precisely with their present positions, edge of page and edge of stain.","They coincided precisely with their present positions, edge of page and edge of stain.",,,,
p00060,chapter,1,Roland asked if it was in order for him to study these jottings.,Roland asked if it was in order for him to study these jottings.,,,,
p00061,chapter,1,"He gave his credentials; he was part-time research assistant to Professor Blackadder, who had been editing Ash’s Complete Works since 1951.","He gave his credentials; he was part-time research assistant to Professor Blackadder, who had been editing Ash’s Complete Works since 1951.",,,,
p00062,chapter,1,"The librarian tiptoed away to telephone: whilst he was gone, the dead leaves continued a kind of rustling and shifting, enlivened by their release.","The librarian tiptoed away to telephone: whilst he was gone, the dead leaves continued a kind of rustling and shifting, enlivened by their release.",,,,
p00063,chapter,1,Ash had put them there.,Ash had put them there.,,,,
p00064,chapter,1,"The librarian came back and said yes, it was quite in order, as long as","The librarian came back and said yes, it was quite in order, as long as",,,,
p00065,chapter,1,Roland was very careful not to disturb the sequence of the interleaved fragments until they had been listed and described.,Roland was very careful not to disturb the sequence of the interleaved fragments until they had been listed and described.,,,,
p00066,chapter,1,The librarian would be glad to know of any important discoveries Mr Michell might make.,The librarian would be glad to know of any important discoveries Mr Michell might make.,,,,
p00067,chapter,1,All this was over by ten-thirty.,All this was over by ten-thirty.,,,,
p00068,chapter,1,"For the next half-hour Roland worked haphazardly, moving backwards and forwards in the Vico, half looking for Proserpina, half reading Ash’s notes, which was not easy, since they were written in various languages, in Ash’s annotating hand, which was reduced to a minute near-printing, not immediately identifiable as the same as his more generous poetic or letter-writing hand.","For the next half-hour Roland worked haphazardly, moving backwards and forwards in the Vico, half looking for Proserpina, half reading Ash’s notes, which was not easy, since they were written in various languages, in Ash’s annotating hand, which was reduced to a minute near-printing, not immediately identifiable as the same as his more generous poetic or letter-writing hand.",,,,
p00069,chapter,1,At eleven he found what he thought was the relevant passage in Vico.,At eleven he found what he thought was the relevant passage in Vico.,,,,
p00070,chapter,1,"Vico had looked for historical fact in the poetic metaphors of myth and legend; this piecing together was his “new science.” His Proserpine was the corn, the origin of commerce and community.","Vico had looked for historical fact in the poetic metaphors of myth and legend; this piecing together was his “new science.” His Proserpine was the corn, the origin of commerce and community.",,,,
p00071,chapter,1,"Randolph Henry Ash’s Proserpine had been seen as a Victorian reflection of religious doubt, a meditation on the myths of resurrection.","Randolph Henry Ash’s Proserpine had been seen as a Victorian reflection of religious doubt, a meditation on the myths of resurrection.",,,,
p00072,chapter,1,"Lord Leighton had painted her, distraught and floating, a golden figure in a tunnel of darkness.","Lord Leighton had painted her, distraught and floating, a golden figure in a tunnel of darkness.",,,,
p00073,chapter,1,"Blackadder had a belief that she represented, for Randolph Ash, a personification of history itself in its early mythical days.","Blackadder had a belief that she represented, for Randolph Ash, a personification of history itself in its early mythical days.",,,,
p00074,chapter,1,"(Ash had also written a poem about Gibbon and one about the Venerable Bede, historians of greatly differing kinds.","(Ash had also written a poem about Gibbon and one about the Venerable Bede, historians of greatly differing kinds.",,,,
p00075,chapter,1,Blackadder had written an article on R.,Blackadder had written an article on R.,,,,
p00076,chapter,1,H.,H.,,,,
p00077,chapter,1,"Ash and relative historiography.) Roland compared Ash’s text with the translation, and copied parts onto an index card.","Ash and relative historiography.) Roland compared Ash’s text with the translation, and copied parts onto an index card.",,,,
p00078,chapter,1,"He had two boxes of these, tomato-red and an intense grassy green, with springy plastic hinges that popped in the library silence.","He had two boxes of these, tomato-red and an intense grassy green, with springy plastic hinges that popped in the library silence.",,,,
p00079,chapter,1,"Ears of grain were called apples of gold, which must have been the first gold in the world while metallic gold was unknown…","Ears of grain were called apples of gold, which must have been the first gold in the world while metallic gold was unknown…",,,,
p00080,chapter,1,"So the golden apple which Hercules first brought back or gathered from Hesperia must have been grain; and the Gallic Hercules with links of this gold, that issue from his mouth, chains men by the ears: something which will later be discovered as a myth concerning the fields.","So the golden apple which Hercules first brought back or gathered from Hesperia must have been grain; and the Gallic Hercules with links of this gold, that issue from his mouth, chains men by the ears: something which will later be discovered as a myth concerning the fields.",,,,
p00081,chapter,1,"Hence Hercules remained the Deity to propitiate in order to find treasures, whose god was Dis (identical with Pluto) who carries off Proserpine (another name for Ceres or grain) to the underworld described by the poets, according to whom its first name was Styx, its second the land of the dead, its third the depth of furrows…","Hence Hercules remained the Deity to propitiate in order to find treasures, whose god was Dis (identical with Pluto) who carries off Proserpine (another name for Ceres or grain) to the underworld described by the poets, according to whom its first name was Styx, its second the land of the dead, its third the depth of furrows…",,,,
p00082,chapter,1,"It was of this golden apple that Virgil, most learned in heroic antiquities, made the golden bough Aeneas carries into the Inferno or Underworld.","It was of this golden apple that Virgil, most learned in heroic antiquities, made the golden bough Aeneas carries into the Inferno or Underworld.",,,,
p00083,chapter,1,"Randolph Henry Ash’s Proserpina, “gold-skinned in the gloom,” was also “graingolden.” Also “bound with golden links” which might have been jewellery or chains.","Randolph Henry Ash’s Proserpina, “gold-skinned in the gloom,” was also “graingolden.” Also “bound with golden links” which might have been jewellery or chains.",,,,
p00084,chapter,1,"Roland wrote neat cross-references under the headings of grain, apples, chain, treasure.","Roland wrote neat cross-references under the headings of grain, apples, chain, treasure.",,,,
p00085,chapter,1,"Folded into the page of Vico on which the passage appeared was a bill for candles on the back of which Ash had written: “The individual appears for an instant, joins the community of thought, modifies it and dies; but the species, that dies not, reaps the fruit of his ephemeral existence.” Roland copied this out and made another card, on which he interrogated himself: “Query?","Folded into the page of Vico on which the passage appeared was a bill for candles on the back of which Ash had written: “The individual appears for an instant, joins the community of thought, modifies it and dies; but the species, that dies not, reaps the fruit of his ephemeral existence.” Roland copied this out and made another card, on which he interrogated himself: “Query?",,,,
p00086,chapter,1,Is this a quotation or is it Ash himself?,Is this a quotation or is it Ash himself?,,,,
p00087,chapter,1,Is Proserpina the Species?,Is Proserpina the Species?,,,,
p00088,chapter,1,A very C19 idea.,A very C19 idea.,,,,
p00089,chapter,1,Or is she the individual?,Or is she the individual?,,,,
p00090,chapter,1,When did he put these papers in here?,When did he put these papers in here?,,,,
p00091,chapter,1,Are they pre- or post-The Origin of Species?,Are they pre- or post-The Origin of Species?,,,,
p00092,chapter,1,Not conclusive anyway- he cd have been interested in Development generally…” That was eleven-fifteen.,Not conclusive anyway- he cd have been interested in Development generally…” That was eleven-fifteen.,,,,
p00093,chapter,1,"The clock ticked, motes of dust danced in sunlight, Roland meditated on the tiresome and bewitching endlessness of the quest for knowledge.","The clock ticked, motes of dust danced in sunlight, Roland meditated on the tiresome and bewitching endlessness of the quest for knowledge.",,,,
p00094,chapter,1,"Here he sat, recuperating a dead man’s reading, timing his exploration by the library clock and the faint constriction of his belly.","Here he sat, recuperating a dead man’s reading, timing his exploration by the library clock and the faint constriction of his belly.",,,,
p00095,chapter,1,"(Coffee is not to be had in the London Library.) He would have to show all this new treasure-trove to Blackadder, who would be both elated and grumpy, who would anyway be pleased that it was locked away in Safe 5 and not spirited away to Robert Dale Owen University in Harmony City, with so much else.","(Coffee is not to be had in the London Library.) He would have to show all this new treasure-trove to Blackadder, who would be both elated and grumpy, who would anyway be pleased that it was locked away in Safe 5 and not spirited away to Robert Dale Owen University in Harmony City, with so much else.",,,,
p00096,chapter,1,He was reluctant to tell Blackadder.,He was reluctant to tell Blackadder.,,,,
p00097,chapter,1,He enjoyed possessing his knowledge on his own.,He enjoyed possessing his knowledge on his own.,,,,
p00098,chapter,1,Proserpina was between pages 288 and 289.,Proserpina was between pages 288 and 289.,,,,
p00099,chapter,1,Under page 300 lay two folded complete sheets of writing paper.,Under page 300 lay two folded complete sheets of writing paper.,,,,
p00100,chapter,1,Roland opened these delicately.,Roland opened these delicately.,,,,
p00101,chapter,1,"They were both letters in Ash’s flowing hand, both headed with his Great Russell Street address and dated, June 21st.","They were both letters in Ash’s flowing hand, both headed with his Great Russell Street address and dated, June 21st.",,,,
p00102,chapter,1,No year.,No year.,,,,
p00103,chapter,1,"Both began “Dear Madam,” and both were unsigned.","Both began “Dear Madam,” and both were unsigned.",,,,
p00104,chapter,1,One was considerably shorter than the other.,One was considerably shorter than the other.,,,,
p00105,chapter,1,"Dear Madam, Since our extraordinary conversation I have thought of nothing else.","Dear Madam, Since our extraordinary conversation I have thought of nothing else.",,,,
p00106,chapter,1,"It has not often been given to me as a poet, it is perhaps not often given to human beings, to find such ready sympathy, such wit and judgment together.","It has not often been given to me as a poet, it is perhaps not often given to human beings, to find such ready sympathy, such wit and judgment together.",,,,
p00107,chapter,1,"I write with a strong sense of the necessity of continuing our talk, and without premeditation, under the impression that you were indeed as much struck as I was by our quite extraordinary to ask if it would be possible for me to call on you, perhaps one day next week.","I write with a strong sense of the necessity of continuing our talk, and without premeditation, under the impression that you were indeed as much struck as I was by our quite extraordinary to ask if it would be possible for me to call on you, perhaps one day next week.",,,,
p00108,chapter,1,"Ifeel, I know with a certainty that cannot be the result of folly or misapprehension, that you and I must speak again.","Ifeel, I know with a certainty that cannot be the result of folly or misapprehension, that you and I must speak again.",,,,
p00109,chapter,1,"I know you go out in company very little, and was the more fortunate that dear Crabb managed to entice you to his breakfast table.","I know you go out in company very little, and was the more fortunate that dear Crabb managed to entice you to his breakfast table.",,,,
p00110,chapter,1,"To think that amongst the babble ofundergraduate humour and through all Crabb’s well-wrought anecdotes, even including the Bust, we were able to say so much, that was significant, simply to each other.","To think that amongst the babble ofundergraduate humour and through all Crabb’s well-wrought anecdotes, even including the Bust, we were able to say so much, that was significant, simply to each other.",,,,
p00111,chapter,1,I cannot surely be alone in feeling,I cannot surely be alone in feeling,,,,
p00112,chapter,1,The second one ran:,The second one ran:,,,,
p00113,chapter,1,"Dear Madam, Since our pleasant and unexpected conversation I have thought of little else.","Dear Madam, Since our pleasant and unexpected conversation I have thought of little else.",,,,
p00114,chapter,1,"Is there any way in which it can be resumed, more privately and at more leisure?","Is there any way in which it can be resumed, more privately and at more leisure?",,,,
p00115,chapter,1,"I know you go out in company very little, and was the more fortunate that dear Crabb managed to entice you to his breakfast table.","I know you go out in company very little, and was the more fortunate that dear Crabb managed to entice you to his breakfast table.",,,,
p00116,chapter,1,"How much I owe to his continuing good health, that he should feel able and eager, at eighty-two years of age, to entertain poets and undergraduates and mathematical professors and political thinkers so early in the day, and to tell the anecdote of the Bust with his habitual fervour without too much delaying the advent of buttered toast.","How much I owe to his continuing good health, that he should feel able and eager, at eighty-two years of age, to entertain poets and undergraduates and mathematical professors and political thinkers so early in the day, and to tell the anecdote of the Bust with his habitual fervour without too much delaying the advent of buttered toast.",,,,
p00117,chapter,1,"Did you not find it as strange as I did, that we should so immediately understand each other so well?","Did you not find it as strange as I did, that we should so immediately understand each other so well?",,,,
p00118,chapter,1,"For we did understand each other uncommonly well, did we not?","For we did understand each other uncommonly well, did we not?",,,,
p00119,chapter,1,"Or is this perhaps a product of the over-excited brain of a middle-aged and somewhat disparaged poet, when hefnds that his ignored, his arcane, his deviously perspicuous meanings, which he thought not meanings, since no one appeared able to understand them, had after all one clear-eyed and amused reader and judge?","Or is this perhaps a product of the over-excited brain of a middle-aged and somewhat disparaged poet, when hefnds that his ignored, his arcane, his deviously perspicuous meanings, which he thought not meanings, since no one appeared able to understand them, had after all one clear-eyed and amused reader and judge?",,,,
p00120,chapter,1,"What you said of Alexander Selkirk’s monologue, the good sense you made of the ramblings of my John Bunyan, your understanding of the passion of Inez de Castro… gruesomely resurrecta… but that is enough of my egoistical mutter, and of those of my personae, who are not, as you so rightly remarked, my masks.","What you said of Alexander Selkirk’s monologue, the good sense you made of the ramblings of my John Bunyan, your understanding of the passion of Inez de Castro… gruesomely resurrecta… but that is enough of my egoistical mutter, and of those of my personae, who are not, as you so rightly remarked, my masks.",,,,
p00121,chapter,1,I would not have you think that I do not recognise the superiority of your own fine ear and finer taste.,I would not have you think that I do not recognise the superiority of your own fine ear and finer taste.,,,,
p00122,chapter,1,I am convinced that you must undertake that grand Fairy Topic - you will make something highly strange and original of it.,I am convinced that you must undertake that grand Fairy Topic - you will make something highly strange and original of it.,,,,
p00123,chapter,1,"In connection with that, I wonder if you have thought of Vico’s history of the primitive races - of his idea that the ancient gods and later heroes are personifications of the fates and aspirations of the people rising in figures from the common mind?","In connection with that, I wonder if you have thought of Vico’s history of the primitive races - of his idea that the ancient gods and later heroes are personifications of the fates and aspirations of the people rising in figures from the common mind?",,,,
p00124,chapter,1,"Something here might be made of your Fairy’s legendary rootedness in veritable castles and genuine agricultural reform - one of the queerest aspects of her story, to a modern mind.","Something here might be made of your Fairy’s legendary rootedness in veritable castles and genuine agricultural reform - one of the queerest aspects of her story, to a modern mind.",,,,
p00125,chapter,1,"But I run on again; assuredly you have determined on your own best ways of presenting the topic, you who are so wise and learned in your retirement.","But I run on again; assuredly you have determined on your own best ways of presenting the topic, you who are so wise and learned in your retirement.",,,,
p00126,chapter,1,"I cannot but feel, though it may be an illusion induced by the delectable drug of understanding, that you must in some way share my eagerness that further conversation could be mutually profitable that we must meet.","I cannot but feel, though it may be an illusion induced by the delectable drug of understanding, that you must in some way share my eagerness that further conversation could be mutually profitable that we must meet.",,,,
p00127,chapter,1,"I cannot do not think I am can be mistaken in my belief that our meeting was also important interesting to you, and that however much you may value your seclusion I know that you came only to honour dear Crabb, at a small informal party, because he had been of assistance to your illustrious Father, and valued his work at a time when it meant a great deal to him.","I cannot do not think I am can be mistaken in my belief that our meeting was also important interesting to you, and that however much you may value your seclusion I know that you came only to honour dear Crabb, at a small informal party, because he had been of assistance to your illustrious Father, and valued his work at a time when it meant a great deal to him.",,,,
p00128,chapter,1,"But you did come out, so I may hope that you can be induced to vary your quiet days with I am sure you understand","But you did come out, so I may hope that you can be induced to vary your quiet days with I am sure you understand",,,,
p00129,chapter,1,"Roland was first profoundly shocked by these writings, and then, in his scholarly capacity, thrilled.","Roland was first profoundly shocked by these writings, and then, in his scholarly capacity, thrilled.",,,,
p00130,chapter,1,His mind busied itself automatically with dating and placing this unachieved dialogue with an unidentified woman.,His mind busied itself automatically with dating and placing this unachieved dialogue with an unidentified woman.,,,,
p00131,chapter,1,"There was no year on the letters, but they must necessarily come after the publication of Ash’s dramatic poems, Gods, Men and Heroes, which had appeared in 1856 and had not, contrary to Ash’s hopes and perhaps expectations, found favour with the reviewers, who had declared his verses obscure, his tastes perverse and his people extravagant and improbable.","There was no year on the letters, but they must necessarily come after the publication of Ash’s dramatic poems, Gods, Men and Heroes, which had appeared in 1856 and had not, contrary to Ash’s hopes and perhaps expectations, found favour with the reviewers, who had declared his verses obscure, his tastes perverse and his people extravagant and improbable.",,,,
p00132,chapter,1,"“The Solitary Thoughts of Alexander Selkirk” was one of those poems, the musings of the castaway sailor on his island.","“The Solitary Thoughts of Alexander Selkirk” was one of those poems, the musings of the castaway sailor on his island.",,,,
p00133,chapter,1,"So was “The Tinker’s Grace,” purporting to be Bunyan’s prison musings on Divine Grace, and so was Pedro of Portugal’s rapt and bizarre declaration of love, in 1356, for the embalmed corpse of his murdered wife, Inez de Castro, who swayed beside him on his travels, leather-brown and skeletal, crowned with lace and gold circlet, hung about with chains of diamonds and pearls, her bone-fingers fantastically ringed.","So was “The Tinker’s Grace,” purporting to be Bunyan’s prison musings on Divine Grace, and so was Pedro of Portugal’s rapt and bizarre declaration of love, in 1356, for the embalmed corpse of his murdered wife, Inez de Castro, who swayed beside him on his travels, leather-brown and skeletal, crowned with lace and gold circlet, hung about with chains of diamonds and pearls, her bone-fingers fantastically ringed.",,,,
p00134,chapter,1,"Ash liked his characters at or over the edge of madness, constructing systems of belief and survival from the fragments of experience available to them.","Ash liked his characters at or over the edge of madness, constructing systems of belief and survival from the fragments of experience available to them.",,,,
p00135,chapter,1,"It would be possible, Roland thought, to identify the breakfast party, which must have been one of Crabb Robinson’s later efforts to provide stimulating conversation for the students of the new London University.","It would be possible, Roland thought, to identify the breakfast party, which must have been one of Crabb Robinson’s later efforts to provide stimulating conversation for the students of the new London University.",,,,
p00136,chapter,1,"Crabb Robinson’s papers were kept in Dr Williams’s Library in Gordon Square, originally designed as University Hall, supported by Robinson as a place in which lay students could experience collegiate university life.","Crabb Robinson’s papers were kept in Dr Williams’s Library in Gordon Square, originally designed as University Hall, supported by Robinson as a place in which lay students could experience collegiate university life.",,,,
p00137,chapter,1,"It would, it must, be easy to check in Robinson’s diary an occasion on which Ash had breakfasted at 30 Russell Square with a professor of mathematics, a political thinker (Bagehot?) and a reclusive lady who knew about, who wrote, or proposed to write, poetry.","It would, it must, be easy to check in Robinson’s diary an occasion on which Ash had breakfasted at 30 Russell Square with a professor of mathematics, a political thinker (Bagehot?) and a reclusive lady who knew about, who wrote, or proposed to write, poetry.",,,,
p00138,chapter,1,He had no idea who she might be.,He had no idea who she might be.,,,,
p00139,chapter,1,Christina Rossetti?,Christina Rossetti?,,,,
p00140,chapter,1,He thought not.,He thought not.,,,,
p00141,chapter,1,"He was not sure that Miss Rossetti would have approved of Ash’s theology, or of his sexual psychology.","He was not sure that Miss Rossetti would have approved of Ash’s theology, or of his sexual psychology.",,,,
